 ,Label,Area,Mean,Min,Max
1,Experiment_0002.nd2 - C=2-1:Cell_01,104.947,88.063,0,255
2,Experiment_0002.nd2 - C=2-1:Cell_02,96.356,118.691,0,255
3,Experiment_0002.nd2 - C=2-1:Cell_03,133.898,101.254,0,255
4,Experiment_0002.nd2 - C=2-1:Cell_04,101.754,111.894,0,255
5,Experiment_0002.nd2 - C=2-1:Cell_05,90.578,97.095,0,255
6,Experiment_0002.nd2 - C=2-1:Cell_01_1,10.035,98.779,0,255
7,Experiment_0002.nd2 - C=2-1:Cell_01_2,8.211,78.559,0,255
8,Experiment_0002.nd2 - C=2-1:Cell_02_1,8.667,95.112,0,255
9,Experiment_0002.nd2 - C=2-1:Cell_02_2,8.241,88.190,0,255
10,Experiment_0002.nd2 - C=2-1:Cell_03_1,1.581,75.548,0,175
11,Experiment_0002.nd2 - C=2-1:Cell_03_2,1.916,68.786,4,188
12,Experiment_0002.nd2 - C=2-1:Cell_03_3,2.250,100.831,0,255
13,Experiment_0002.nd2 - C=2-1:Cell_03_4,9.306,59.386,0,142
14,Experiment_0002.nd2 - C=2-1:Cell_04_1,4.562,201.557,100,255
15,Experiment_0002.nd2 - C=2-1:Cell_04_2,6.295,181.435,12,255
16,Experiment_0002.nd2 - C=2-1:Cell_04_3,4.866,141.231,33,255
17,Experiment_0002.nd2 - C=2-1:Cell_05_1,7.177,86.114,0,255
18,Experiment_0002.nd2 - C=2-1:Cell_05_2,2.083,43.620,0,217
19,Experiment_0002.nd2 - C=2-1:Cell_05_3,7.207,109.002,25,225
20,Experiment_0002.nd2 - C=2-1:Cell_05_4,2.129,93.986,29,167
