 ,Label,Area,Mean,Min,Max
1,Experiment_0002.nd2 - C=2-1:Cell_01,84.523,90.699,0,255
2,Experiment_0002.nd2 - C=2-1:Cell_02,89.179,96.975,0,255
3,Experiment_0002.nd2 - C=2-1:Cell_03,84.461,108.897,0,255
4,Experiment_0002.nd2 - C=2-1:Cell_04,108.799,123.243,0,255
5,Experiment_0002.nd2 - C=2-1:Cell_05,90.400,106.584,0,255
6,Experiment_0002.nd2 - C=2-1:Cell_06,105.943,89.582,0,255
7,Experiment_0002.nd2 - C=2-1:Cell_07,127.777,88.978,0,255
8,Experiment_0002.nd2 - C=2-1:Cell_08,102.094,75.892,0,255
9,Experiment_0002.nd2 - C=2-1:Cell_01_1,1.780,77.488,16,135
10,Experiment_0002.nd2 - C=2-1:Cell_01_2,2.484,79.458,37,197
11,Experiment_0002.nd2 - C=2-1:Cell_01_3,2.566,19.637,0,78
12,Experiment_0002.nd2 - C=2-1:Cell_02_1,1.490,97.083,24,185
13,Experiment_0002.nd2 - C=2-1:Cell_02_2,1.242,106.233,61,160
14,Experiment_0002.nd2 - C=2-1:Cell_02_3,0.869,155.119,78,217
15,Experiment_0002.nd2 - C=2-1:Cell_03_1,1.242,144.017,61,255
16,Experiment_0002.nd2 - C=2-1:Cell_03_2,0.704,174.059,86,238
17,Experiment_0002.nd2 - C=2-1:Cell_03_3,1.449,133.986,65,255
18,Experiment_0002.nd2 - C=2-1:Cell_04_1,1.490,109.681,41,255
19,Experiment_0002.nd2 - C=2-1:Cell_04_2,1.738,61.798,0,139
20,Experiment_0002.nd2 - C=2-1:Cell_05_1,1.904,121.000,20,242
21,Experiment_0002.nd2 - C=2-1:Cell_05_2,0.642,94.742,8,222
22,Experiment_0002.nd2 - C=2-1:Cell_06_1,1.055,89.333,28,143
23,Experiment_0002.nd2 - C=2-1:Cell_06_2,0.662,122.188,78,168
24,Experiment_0002.nd2 - C=2-1:Cell_06_3,0.766,155.432,61,255
25,Experiment_0002.nd2 - C=2-1:Cell_07_1,1.490,99.514,20,164
26,Experiment_0002.nd2 - C=2-1:Cell_08_1,1.490,197.222,53,255
27,Experiment_0002.nd2 - C=2-1:Cell_08_2,2.525,146.844,53,255
28,Experiment_0002.nd2 - C=2-1:Cell_08_3,1.242,94.250,45,160
