 ,Label,Area,Mean,Min,Max
1,Experiment_0002.nd2 - C=2-1:Cell_01,105.467,99.101,0,255
2,Experiment_0002.nd2 - C=2-1:Cell_02,98.596,127.072,0,255
3,Experiment_0002.nd2 - C=2-1:Cell_03,110.476,108.996,0,255
4,Experiment_0002.nd2 - C=2-1:Cell_04,93.443,105.155,0,255
5,Experiment_0002.nd2 - C=2-1:Cell_05,119.230,80.330,0,255
6,Experiment_0002.nd2 - C=2-1:Cell_01_1,1.242,132.950,43,255
7,Experiment_0002.nd2 - C=2-1:Cell_01_2,1.055,114.882,0,233
8,Experiment_0002.nd2 - C=2-1:Cell_01_3,1.200,103.569,24,202
9,Experiment_0002.nd2 - C=2-1:Cell_01_4,3.022,88.705,27,181
10,Experiment_0002.nd2 - C=2-1:Cell_01_5,0.745,215.389,122,255
11,Experiment_0002.nd2 - C=2-1:Cell_02_1,1.325,144.094,86,187
12,Experiment_0002.nd2 - C=2-1:Cell_02_2,6.830,73.630,0,242
13,Experiment_0002.nd2 - C=2-1:Cell_02_3,2.028,172.908,107,248
14,Experiment_0002.nd2 - C=2-1:Cell_03_1,2.649,162.570,18,255
15,Experiment_0002.nd2 - C=2-1:Cell_03_2,7.037,109.697,0,255
16,Experiment_0002.nd2 - C=2-1:Cell_03_3,4.346,106.424,12,208
17,Experiment_0002.nd2 - C=2-1:Cell_04_1,9.727,101.215,6,255
18,Experiment_0002.nd2 - C=2-1:Cell_04_2,2.608,151.770,15,255
19,Experiment_0002.nd2 - C=2-1:Cell_04_3,2.380,181.052,9,255
20,Experiment_0002.nd2 - C=2-1:Cell_05_1,2.111,83.451,0,178
21,Experiment_0002.nd2 - C=2-1:Cell_05_2,0.745,122.500,0,255
22,Experiment_0002.nd2 - C=2-1:Cell_05_3,0.911,54.136,3,135
23,Experiment_0002.nd2 - C=2-1:Cell_05_4,0.704,66.588,21,141
24,Experiment_0002.nd2 - C=2-1:Cell_05_5,1.449,186.257,110,255
25,Experiment_0002.nd2 - C=2-1:Cell_05_6,0.745,188.417,122,255
