 ,Label,Area,Mean,Min,Max
1,Experiment_0003.nd2 - C=2-1:Cell_01,79.638,93.278,0,255
2,Experiment_0003.nd2 - C=2-1:Cell_02,95.740,107.562,0,255
3,Experiment_0003.nd2 - C=2-1:Cell_03,89.262,102.460,0,255
4,Experiment_0003.nd2 - C=2-1:Cell_04,114.159,108.286,0,255
5,Experiment_0003.nd2 - C=2-1:Cell_05,124.094,90.262,0,255
6,Experiment_0003.nd2 - C=2-1:Cell_01_1,2.008,172.474,36,255
7,Experiment_0003.nd2 - C=2-1:Cell_01_2,0.766,212.216,58,255
8,Experiment_0003.nd2 - C=2-1:Cell_01_3,1.325,161.172,65,233
9,Experiment_0003.nd2 - C=2-1:Cell_01_4,6.519,92.098,0,255
10,Experiment_0003.nd2 - C=2-1:Cell_01_5,1.428,237.609,131,255
11,Experiment_0003.nd2 - C=2-1:Cell_02_1,1.780,98.000,0,247
12,Experiment_0003.nd2 - C=2-1:Cell_02_2,0.704,118.441,14,233
13,Experiment_0003.nd2 - C=2-1:Cell_02_3,5.671,85.044,0,255
14,Experiment_0003.nd2 - C=2-1:Cell_03_1,1.738,162.774,58,255
15,Experiment_0003.nd2 - C=2-1:Cell_03_2,4.884,162.229,0,255
16,Experiment_0003.nd2 - C=2-1:Cell_03_3,9.334,126.080,0,255
17,Experiment_0003.nd2 - C=2-1:Cell_04_1,6.830,134.652,0,255
18,Experiment_0003.nd2 - C=2-1:Cell_04_2,1.656,143.900,51,218
19,Experiment_0003.nd2 - C=2-1:Cell_04_3,2.111,147.990,0,255
20,Experiment_0003.nd2 - C=2-1:Cell_04_4,1.635,153.101,80,240
21,Experiment_0003.nd2 - C=2-1:Cell_04_5,3.932,130.847,0,255
22,Experiment_0003.nd2 - C=2-1:Cell_04_6,2.152,106.788,0,255
23,Experiment_0003.nd2 - C=2-1:Cell_05_1,3.663,123.028,14,255
24,Experiment_0003.nd2 - C=2-1:Cell_05_2,1.325,131.547,21,255
25,Experiment_0003.nd2 - C=2-1:Cell_05_3,5.547,99.187,0,255
26,Experiment_0003.nd2 - C=2-1:Cell_05_4,3.125,155.464,43,255
