 ,Label,Area,Mean,Min,Max
1,Experiment6.nd2 - C=2-1:Cell_01,93.463,64.393,0,255
2,Experiment6.nd2 - C=2-1:Cell_01_1,1.987,131.333,15,255
3,Experiment6.nd2 - C=2-1:Cell_01_2,5.257,72.177,0,204
4,Experiment6.nd2 - C=2-1:Cell_01_3,2.835,72.642,0,235
5,Experiment6.nd2 - C=2-1:Cell_01_4,9.644,47.530,0,117
6,Experiment6.nd2 - C=2-1:Cell_02,93.443,73.561,0,255
7,Experiment6.nd2 - C=2-1:Cell_02_1,2.815,66.596,23,149
8,Experiment6.nd2 - C=2-1:Cell_02_2,4.926,68.887,15,113
9,Experiment6.nd2 - C=2-1:Cell_02_3,9.272,94.054,3,235
10,Experiment6.nd2 - C=2-1:Cell_02_4,6.250,50.156,0,180
11,Experiment6.nd2 - C=2-1:Cell_02_5,2.897,51.093,0,176
12,Experiment6.nd2 - C=2-1:Cell_03,81.812,71.724,0,255
13,Experiment6.nd2 - C=2-1:Cell_04,87.213,92.689,0,255
14,Experiment6.nd2 - C=2-1:Cell_03_1,11.610,89.977,0,255
15,Experiment6.nd2 - C=2-1:Cell_03_2,5.133,41.520,3,109
16,Experiment6.nd2 - C=2-1:Cell_03_3,4.346,52.229,11,109
17,Experiment6.nd2 - C=2-1:Cell_04_1,6.788,136.409,15,255
18,Experiment6.nd2 - C=2-1:Cell_04_2,4.429,69.893,0,235
19,Experiment6.nd2 - C=2-1:Cell_05,92.905,92.009,0,255
20,Experiment6.nd2 - C=2-1:Cell_05_1,7.119,116.128,0,251
21,Experiment6.nd2 - C=2-1:Cell_06,73.988,114.989,0,255
22,Experiment6.nd2 - C=2-1:Cell_06_1,6.188,96.799,0,255
23,Experiment6.nd2 - C=2-1:Cell_06_2,2.753,130.383,35,255
24,Experiment6.nd2 - C=2-1:Cell_06_3,2.401,84.931,0,200
25,Experiment6.nd2 - C=2-1:Cell_07,82.826,90.707,0,255
26,Experiment6.nd2 - C=2-1:Cell_08,79.928,110.521,0,255
27,Experiment6.nd2 - C=2-1:Cell_07_1,1.325,160.312,51,255
28,Experiment6.nd2 - C=2-1:Cell_07_2,2.566,133.331,0,239
29,Experiment6.nd2 - C=2-1:Cell_07_3,18.213,96.659,0,255
30,Experiment6.nd2 - C=2-1:Cell_08_1,3.229,37.231,0,180
31,Experiment6.nd2 - C=2-1:Cell_08_2,5.133,81.403,23,149
32,Experiment6.nd2 - C=2-1:Cell_08_3,2.008,42.722,11,113
