 ,Label,Area,Mean,Min,Max
1,Experiment.nd2 - C=2-1:Cell_01,85.666,118.665,0,255
2,Experiment.nd2 - C=2-1:Cell_02,81.911,89.309,0,255
3,Experiment.nd2 - C=2-1:Cell_03,104.110,93.787,0,255
4,Experiment.nd2 - C=2-1:Cell_01_01,8.211,87.574,0,167
5,Experiment.nd2 - C=2-1:Cell_01_2,8.485,81.108,3,159
6,Experiment.nd2 - C=2-1:Cell_02_1,9.306,47.557,0,91
7,Experiment.nd2 - C=2-1:Cell_02_2,5.778,71.579,0,155
8,Experiment.nd2 - C=2-1:Cell_03_1,6.599,51.265,0,107
9,Experiment.nd2 - C=2-1:Cell_03_2,7.816,74.132,0,207
