 ,Label,Area,Mean,Min,Max
1,Experiment_0003.nd2 - C=2-1:Cell_01,97.747,109.404,0,255
2,Experiment_0003.nd2 - C=2-1:Cell_02,79.597,127.741,0,255
3,Experiment_0003.nd2 - C=2-1:Cell_03,75.789,78.058,0,255
4,Experiment_0003.nd2 - C=2-1:Cell_04,128.999,87.811,0,255
5,Experiment_0003.nd2 - C=2-1:Cell_01_2,1.842,74.213,0,222
6,Experiment_0003.nd2 - C=2-1:Cell_01_4,1.242,174.417,41,255
7,Experiment_0003.nd2 - C=2-1:Cell_02_1,6.064,130.123,0,255
8,Experiment_0003.nd2 - C=2-1:Cell_01_1,1.738,76.810,0,222
9,Experiment_0003.nd2 - C=2-1:Cell_01_3,2.008,80.691,8,164
10,Experiment_0003.nd2 - C=2-1:Cell_04_1,2.214,87.738,0,255
11,Experiment_0003.nd2 - C=2-1:Cell_04_2,2.401,130.293,32,255
12,Experiment_0003.nd2 - C=2-1:Cell_04_3,1.635,163.785,49,255
13,Experiment_0003.nd2 - C=2-1:Cell_04_4,2.070,215.630,115,255
14,Experiment_0003.nd2 - C=2-1:Cell_04_5,1.552,144.680,24,255
15,Experiment_0003.nd2 - C=2-1:Cell_03_1,0.538,205.923,131,255
16,Experiment_0003.nd2 - C=2-1:Cell_03_2,1.055,186.471,98,255
17,Experiment_0003.nd2 - C=2-1:Cell_03_3,0.662,127.031,49,197
18,Experiment_0003.nd2 - C=2-1:Cell_03_4,3.125,171.351,16,255
19,Experiment_0003.nd2 - C=2-1:Cell_03_5,1.656,143.225,49,222
20,Experiment_0003.nd2 - C=2-1:Cell_03_6,0.993,107.750,41,189
