 ,Label,Area,Mean,Min,Max
1,Experiment.nd2 - C=2-1:Cell_01,89.738,84.181,0,255
2,Experiment.nd2 - C=2-1:Cell_02,90.794,76.876,0,255
3,Experiment.nd2 - C=2-1:Cell_01_2,1.449,203.757,104,255
4,Experiment.nd2 - C=2-1:Cell_01_3,1.428,208.667,88,255
5,Experiment.nd2 - C=2-1:Cell_01_4,0.642,170.774,78,234
6,Experiment.nd2 - C=2-1:Cell_01_5,3.125,162.344,62,239
7,Experiment.nd2 - C=2-1:Cell_01_6,1.656,217.438,78,255
8,Experiment.nd2 - C=2-1:Cell_01_1,0.745,249.250,208,255
9,Experiment.nd2 - C=2-1:Cell_02_1,0.704,119.059,62,182
10,Experiment.nd2 - C=2-1:Cell_02_2,2.318,161.098,31,239
11,Experiment.nd2 - C=2-1:Cell_02_3,1.242,192.100,26,255
12,Experiment.nd2 - C=2-1:Cell_02_4,1.987,157.073,72,218
13,Experiment.nd2 - C=2-1:Cell_03,102.239,92.503,0,255
14,Experiment.nd2 - C=2-1:Cell_04,88.993,76.660,0,255
15,Experiment.nd2 - C=2-1:Cell_03_1,9.437,120.020,0,255
16,Experiment.nd2 - C=2-1:Cell_03_2,1.780,107.651,0,244
17,Experiment.nd2 - C=2-1:Cell_04_1,3.932,97.116,0,255
18,Experiment.nd2 - C=2-1:Cell_04_2,2.173,139.305,0,255
19,Experiment.nd2 - C=2-1:Cell_04_3,2.277,165.200,10,255
20,Experiment.nd2 - C=2-1:Cell_04_4,1.200,144.276,26,255
21,Experiment.nd2 - C=2-1:Cell_04_5,3.974,127.130,0,255
