 ,Label,Area,Mean,Min,Max
1,Experiment_0001.nd2 - C=2-1:Cell_01,118.733,115.370,0,255
2,Experiment_0001.nd2 - C=2-1:Cell_02,114.242,136.844,0,255
3,Experiment_0001.nd2 - C=2-1:Cell_03,92.822,119.780,0,255
4,Experiment_0001.nd2 - C=2-1:Cell_04,107.206,111.797,0,255
5,Experiment_0001.nd2 - C=2-1:Cell_01_1,2.111,104.725,0,235
6,Experiment_0001.nd2 - C=2-1:Cell_01_2,1.242,107.833,0,192
7,Experiment_0001.nd2 - C=2-1:Cell_02_1,0.911,178.523,43,255
8,Experiment_0001.nd2 - C=2-1:Cell_02_2,1.635,155.329,51,255
9,Experiment_0001.nd2 - C=2-1:Cell_02_3,0.911,228.432,137,255
10,Experiment_0001.nd2 - C=2-1:Cell_03_1,1.428,157.377,27,255
11,Experiment_0001.nd2 - C=2-1:Cell_03_2,1.262,182.115,86,255
12,Experiment_0001.nd2 - C=2-1:Cell_03_3,1.262,142.262,31,255
13,Experiment_0001.nd2 - C=2-1:Cell_04_1,3.125,113.351,11,255
14,Experiment_0001.nd2 - C=2-1:Cell_04_2,5.960,116.705,0,255
15,Experiment_0001.nd2 - C=2-1:Cell_04_3,1.656,191.912,90,255
