 ,Label,Area,Mean,Min,Max
1,Experiment_0003.nd2 - C=1:Cell_01:c:2/3 z:1/37 - Experiment_0003.nd2 (series 1),96.006,553.571,174,1338
2,Experiment_0003.nd2 - C=1:Cell_01_1:c:2/3 z:1/37 - Experiment_0003.nd2 (series 1),9.610,295.527,174,500
3,Experiment_0003.nd2 - C=1:Cell_01_2:c:2/3 z:1/37 - Experiment_0003.nd2 (series 1),5.018,904.658,600,1203
4,Experiment_0003.nd2 - C=1:Cell_01_3:c:2/3 z:1/37 - Experiment_0003.nd2 (series 1),2.919,711.432,478,1089
5,Experiment_0003.nd2 - C=1:Cell_01_4:c:2/3 z:1/37 - Experiment_0003.nd2 (series 1),1.916,519.714,330,837
6,Experiment_0003.nd2 - C=1:Cell_01_5:c:2/3 z:1/37 - Experiment_0003.nd2 (series 1),1.703,619.045,365,986
